        NoDur  Durbl  Manuf  Enrgy  Chems  BusEq  Telcm  Utils  Shops  Hlth   Money  Other
196701   9.42  11.80  11.47   3.58  10.42  10.15   6.24   2.84  11.78   6.45   9.03  13.42
196702   2.03  -1.08   1.56  -0.07   0.20   6.25   2.13  -1.72   3.25   1.40   0.22  -0.58
196703   4.45   3.85   6.03   3.61   5.26   5.37   2.97   1.53   2.34   7.86   1.26   5.89
196704   4.60  11.06   3.31   1.67   5.30   7.79   0.19   1.88   9.24   4.46   0.41   2.93
196705  -2.61  -7.28  -3.37  -2.42  -4.64  -4.35  -5.67  -4.11  -4.63  -5.28  -2.42  -1.92
196706   2.67   1.55   2.66   2.27   0.59   6.35   2.73  -1.31   3.84   5.41   3.75   3.37
196707   6.07  11.10   4.91   6.92   5.28   4.05  -6.58   2.33   6.00   3.79   6.92   8.30
196708  -0.84   0.18  -0.52  -1.45  -0.06  -0.98  -1.24  -0.65   0.51   0.65   2.13  -1.29
196709   3.10   4.97   2.72   4.24   4.44   8.41   1.23  -0.09   2.29   2.90   3.21   0.48
196710  -2.64  -4.90  -4.58  -0.97  -4.61   5.16  -3.51  -5.36   0.68  -5.02  -4.01  -5.60
196711   0.56  -0.95   1.40   0.76  -1.64   1.44   0.08   3.18   0.85   1.33  -1.46   0.00
196712   3.21   0.89   4.73   3.07   6.80   2.09   0.13   3.28   3.43   1.62   7.24   4.85
196801  -0.60  -5.21  -6.18  -0.90  -6.92  -8.85   2.67   0.20   1.13  -6.58   2.99  -3.91
196802  -2.66  -2.32  -4.60  -2.66  -3.35  -4.54  -2.41  -1.48  -0.84  -4.24  -2.99  -3.71
196803   0.75   0.65   0.91   0.75   0.63   4.34  -1.12  -3.93   2.84   0.11   0.97  -0.85
196804  11.10  11.69  11.37   5.68   8.49  12.40   2.21   2.49  12.22  11.89  11.43  12.23
196805   5.02  -0.33   4.25   1.25  -0.32   3.89  -0.72   0.44   3.51   3.35   6.76   5.98
196806   1.19  -1.40  -0.48   1.84   0.71  -2.02   4.17   8.44   0.45   2.23   7.83   0.77
196807  -3.91  -2.95  -4.55   5.28  -2.31  -5.54  -0.20   0.18  -5.18  -4.12   0.60  -4.46
196808   2.78   1.24   3.84   1.29   1.74   0.48   1.28  -0.87   2.25   0.68   5.52   1.56
